Stages,C_Pt_in [M],C_Pd_in [M],C_Rh_in [M],q_Pt_in [mol PGM/mol ddFc],q_Pd_in [mol PGM/mol ddFc],q_Rh_in [mol PGM/mol ddFc],C_Pt_out [M],C_Pd_out [M],C_Rh_out [M],q_Pt_out [mol PGM/mol ligand],q_Pd_out [mol PGM/mol ligand],q_Rh_out [mol PGM/mol ligand],Material Residual Pt [mol PGM/time],Material Residual Pd [mol PGM/time],Material Residual Rh [mol PGM/time],Q_org [L/time],PGM Recovery [%],PPM Mass Total Feed [mg/L],PGM Relative Purity [%],Q_aq [L/time],C_lig [L/time],Q_aq/(Q_org*C_lig) [1/M],Ligand,q_max_Pt,q_max_Pd,q_max_Rh,K_eq_Pt,K_eq_Pd,K_eq_Rh
6,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7457907738401785e-05,4.9730665604226936e-08,0.00033264512967550716,0.12399199297733289,0.1254083353769446,0.000805159885830874,-7.945033519973776e-16,-6.244809357125458e-14,-3.4508122271140196e-18,0.12290938362943632,97.11095551889697,500.0,95,1,0.1,81.36075297675676,ddFc,0.288925190848294,0.5594362630553866,0.0040362936298315,1930.002060264714,2795.355140836561,3905.038103029412
7,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.754967724717835e-05,1.8314208230754136e-08,0.00033379183764986164,0.12908258719384505,0.1305676021098386,0.0007411336113080069,-1.496198998029996e-17,-6.299214622140781e-16,-1.8126505071242027e-19,0.11805513096704064,97.44572039941494,500.0,95,1,0.1,84.7061869999692,ddFc,0.288925190848294,0.5594362630553866,0.0040362936298315,1930.002060264714,2795.355140836561,3905.038103029412
8,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7587566623579108e-05,6.659607636267031e-09,0.0003342902873866102,0.1314284060402068,0.13294471898873383,0.0007116308585599473,-1.777592829876884e-14,-2.29468592564952e-12,-6.068144034129808e-18,0.115945124058536,97.59123562238247,500.0,95,1,0.1,86.2476976172918,ddFc,0.288925190848294,0.5594362630553866,0.0040362936298315,1930.002060264714,2795.355140836561,3905.038103029412
9,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7602545233096585e-05,2.4060503678131654e-09,0.000334494073145276,0.13241227630879407,0.13394162639592988,0.0006992573590000359,-4.604172945676943e-15,-8.074292102977498e-13,-1.836367429647323e-18,0.11508247937210704,97.65072794011002,500.0,95,1,0.1,86.89420018199344,ddFc,0.288925190848294,0.5594362630553866,0.0040362936298315,1930.002060264714,2795.355140836561,3905.038103029412
10,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.760827336914109e-05,8.668923771414398e-10,0.00033457366470965164,0.13280056685946112,0.1343350408027239,0.0006943741705687524,-3.21097315403307e-15,-1.1383238102125048e-12,-9.469828350303078e-19,0.1147455627329691,97.67396355121096,500.0,95,1,0.1,87.14933947617274,ddFc,0.288925190848294,0.5594362630553866,0.0040362936298315,1930.002060264714,2795.355140836561,3905.038103029412
11,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7610421906923937e-05,3.1199165855714883e-10,0.00033460394232046807,0.1329488787983843,0.13448530445660772,0.0006925090047845094,-1.1639994523804376e-15,-8.965517130782308e-13,-4.472333961502706e-19,0.11461739600870588,97.68280266369122,500.0,95,1,0.1,87.24679104767343,ddFc,0.288925190848294,0.5594362630553866,0.0040362936298315,1930.002060264714,2795.355140836561,3905.038103029412
12,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7611220213285325e-05,1.1281975432338239e-10,0.0003346153105451044,0.13300465110673,0.1345418095978846,0.0006918076188600135,-3.559869413138905e-15,-5.835295137715524e-12,-6.877907531704919e-19,0.11456927393373802,97.68612145317137,500.0,95,1,0.1,87.28343696917878,ddFc,0.288925190848294,0.5594362630553866,0.0040362936298315,1930.002060264714,2795.355140836561,3905.038103029412
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.633205902964348e-05,8.317606729029767e-07,0.000326112574348352,0.08644228847527133,0.0873208393444743,0.0009311737780044781,-9.324138683375338e-18,1.71954464556201e-16,-4.743384504624082e-19,0.17643028878477687,95.20387005993074,500.0,95,1,0.1,56.67961022383613,ddFc,0.288747501514053,0.5715962182402388,0.0042649398724091,1757.9212953436308,2513.021085483326,1878.653932771069
4,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.723573564827083e-05,3.319485832794297e-07,0.0003337860003992281,0.11588047152991542,0.11716561697470586,0.0006656398065198595,-4.787403112826993e-15,-1.7189830288366625e-13,-1.9603730531253527e-17,0.13153209467943683,97.44401629814888,500.0,95,1,0.1,76.02707175287887,ddFc,0.288747501514053,0.5715962182402388,0.0042649398724091,1757.9212953436308,2513.021085483326,1878.653932771069
5,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.758717543125481e-05,1.252550099603436e-07,0.0003365361783830831,0.13199912334337194,0.13351171329050682,0.0005201768579490662,-5.421010862427522e-18,1.474514954580286e-17,-9.486769009248164e-20,0.11544384817808814,98.24689115797239,500.0,95,1,0.1,86.62219908481926,ddFc,0.288747501514053,0.5715962182402388,0.0042649398724091,1757.9212953436308,2513.021085483326,1878.653932771069
6,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7722162894083697e-05,4.5822814831683803e-08,0.0003375917277084954,0.1394460815072121,0.14106377174871101,0.0004529712472160771,-1.1156657195310338e-13,-3.0137535262514392e-12,-2.304946056068402e-17,0.10926902152207284,98.55504358361621,500.0,95,1,0.1,91.51724670637739,ddFc,0.288747501514053,0.5715962182402388,0.0042649398724091,1757.9212953436308,2513.021085483326,1878.653932771069
7,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7771583478686512e-05,1.650030102576947e-08,0.0003379735905594811,0.1423517488075985,0.14401055724366527,0.0004267485100998195,-2.905661822261152e-17,-4.098284211995207e-17,-1.7872395187065737e-19,0.10703516326316866,98.66652294413643,500.0,95,1,0.1,93.4272410592104,ddFc,0.288747501514053,0.5715962182402388,0.0042649398724091,1757.9212953436308,2513.021085483326,1878.653932771069
8,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7788903926891898e-05,5.9015529670753565e-09,0.00033810130396863433,0.1433507436855326,0.1450238390310739,0.0004177324436199488,-1.3010426069826053e-18,1.3010426069826053e-18,-3.134021904840911e-20,0.10628803924003821,98.70380703486563,500.0,95,1,0.1,94.08396345910806,ddFc,0.288747501514053,0.5715962182402388,0.0042649398724091,1757.9212953436308,2513.021085483326,1878.653932771069
9,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7794835997676785e-05,2.1055172726089914e-09,0.0003381418877655441,0.14367111354747755,0.14534887188019155,0.0004148408174082459,-3.876022766635678e-15,-5.738985675574071e-14,-5.649709758186183e-19,0.10605061639083367,98.71565488996677,500.0,95,1,0.1,94.29459573479984,ddFc,0.288747501514053,0.5715962182402388,0.0042649398724091,1757.9212953436308,2513.021085483326,1878.653932771069
10,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7796853343680468e-05,7.505612101186923e-10,0.0003381544741930355,0.14377075029156197,0.14544999259640526,0.00041394140480726266,-3.707971429900425e-16,-8.897852073197487e-14,-7.199780051661553e-20,0.10597698033065488,98.71932931622833,500.0,95,1,0.1,94.36011451542936,ddFc,0.288747501514053,0.5715962182402388,0.0042649398724091,1757.9212953436308,2513.021085483326,1878.653932771069
11,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7797538288008303e-05,2.691439574346105e-10,0.0003381583393754138,0.14380137062517467,0.14548108304584678,0.00041366495538474674,-2.665923037881157e-14,-1.7426256184588373e-11,-1.122318655111948e-18,0.1059543665011813,98.72045770056505,500.0,95,1,0.1,94.3802537849019,ddFc,0.288747501514053,0.5715962182402388,0.0042649398724091,1757.9212953436308,2513.021085483326,1878.653932771069
